,user,location,pesan
24,wtcklofficial,World Trade Centre KL,"Kami sentiasa memastikan penerima-penerima vaksin menjaga penjarakan sosial di WTCKL  👩‍💼↔🙍‍♂️

#AstraZeneca… https://t.co/w9TxFpGWIX"
25,FreddyPOZ,,"#AstraZeneca 
#AZ
#1stdose
Doc tu mention rvd dlm borang...mmg cmtu eh?"
26,DoDaDoodle,"Selangor, Malaysia",[020921] yeayyyhuu alhamdulillah settle dos kedua #AstraZeneca #CucukMyAZ setelah dua purnama menunggu dengan penuh… https://t.co/sky2ITOVcc
27,bangwinissimo,"ÜT: -6.232766,106.827049",4 hari paska vaksin ke2 #AstraZeneca tidak ada reaksi apa2 selain tangan pegel selama 2 hari. Alhamdulillah! Waktu… https://t.co/2lew8QPvPL
28,micomyizajohn,"Kigali,Rwanda","Nyuma ya #Astrazeneca na #Pfizer, u #Rwanda rugiye gukoresha ubundi bwoko bw'urukingo rwa #Covid19 ari bwo Johnson… https://t.co/w7XGtMcHi2"
29,AeinZainuddin,"Kuala Lumpur,Malaysia","Done my 2nd dose ✅
Alhamdulillah 🤲🏻

#LindungiDiriLindungiSemua 
#AstraZeneca
#FullyVaccinated
@JKJAVMY https://t.co/KMxNBPxsui"
30,lampostco,"Lampung, Indonesia",Indonesia kembali kedatangan vaksin 500 ribu dosis AstraZeneca. Kedatangan vaksin tahap ke-48 ini merupakan dose-sh… https://t.co/mUifDOYgXz
31,dw_indonesia,"Bonn, Jerman","Berikut rangkuman berita terhangat @dw_indonesia:

Korea Utara beralasan tiga juta vaksin #Sinovac harusnya dikirim… https://t.co/mRlr3izq3L"
32,nurrvittasr,,"Dosis 2 done , yuk ikut vaksin biar tambah sehat , bjar ga gampang di sakitin buaya xixixi
#SegerakanVaksinasi… https://t.co/6iKpIl9VWu"
33,VitmindC,"Jawa Timur, Indonesia","Solusi berhenti merokok itu tidak mahal guys
#AstraZeneca #instagramdown https://t.co/MmyKkLmYJO"
34,BROVEGAS4,,"Hasil live draw Sydney
Result : 8399
Shio : Babi
Selamat kepada para pemenang, Salam Jackpot !

#brovegas #ResultSydney #AstraZeneca"
35,batikpk,,"Hasil untuk pasaran SYDNEY hari ini adalah :
Result : 8399
Shio : Babi 
Selamat untuk pemenang...!!!

#Batikpoker #ResultSydney #AstraZeneca"
36,ahabet8881,,"Hasil Pengeluaran Angka
Pasaran SYDNEY (SD) Hari ini

Result : 8399
Shio : Babi

Selamat kepada para pemenang
Salam… https://t.co/Azcbm6wysf"
37,MelatyRini,,"KAPAL4D1 &amp; KAPAL4D2 AGEN SLOT ONLINE TERPERCAYA 
LINK :  https://t.co/G9eDFBVX4x 
#Kapal4d #Kapal4d2 #KPK_Bobrok… https://t.co/vJm0OmJ5dS"
38,workwithmysc,,"Yuk mengenal Vaksin Merah Putih lebih lanjut. kalau kaliang gimana nih sobat MYSC, sudah pada Vaksin belum? kalau s… https://t.co/sUvVSVkWou"
39,kaylatyo99,"Madiun, Indonesia","Saya sudah 2 kali
✌️
#AstraZeneca 
#VaksinKokPilahPilih 
#Vaksin 
#AyoTaatProKes https://t.co/gAL9H6Lh7R"
40,Davidkhayumbi2,,@ntvkenya @VictorKiprop_ Ask trevor ombija ..has a full story..yake ni yake yangu ni yetu...#AstraZeneca
41,KSR_UNS,"Surakarta, Jawa Tengah","[ Jenis Vaksin apa sih yang paling bagus?? ]

Hallo Sobat KSR UNS ramai dibincangkan mengenai jenis vaksin yang leb… https://t.co/QQpfT9FbCE"
42,woyanaktunggal,"DKI Jakarta, Indonesia",Vaksin second dose di cakung #AstraZeneca #Sinovac https://t.co/upsyXi5Z6j
43,mrndtn,,After effect dosis ke dua #AstraZeneca di gue lebih berat dari dosis pertama. Yang pertama kena meriang tapi ringan… https://t.co/91ra3HYecR
44,republikaonline,"Jakarta, Indonesia",Hal yang membuat vaksin ini bisa digunakan dengan alasan kedaruratan. Terlebih vaksin saat ini dibutuhkan oleh masy… https://t.co/Mu60hzkVRo
45,blinkzap,"Jakarta, Indonesia","Selama bulan Agustus jumlah vaksin yang diterima mencapai 43 juta dosis, dan di September diperkirakan jumlah vaksi… https://t.co/hnFepdIy6A"
46,PaiLanTun,"Kota Kinabalu, Sabah, Malaysia","#AstraZeneca hari 8 sakit di tempat kena suntik beransur hilang, tapi macam mau demam sikit."
47,alvristarf,Indonesia,"Sambat bersama @fhramadhani akibat #AstraZeneca  😭😭😭
wis mboh wis mboh mboh mboh"
48,radar_malang,"Jalan Kawi 11B, Kota Malang","Jawa Pos Radar Malang menggelar vaksinasi massal untuk para agen, loper dan keluarga karyawan dengan total 148 oran… https://t.co/nzntPyaIEc"
49,owcrl,021,Imunizadah #VivaOSuS #ForaBolsonaro #VacinaSim #AstraZeneca #Pfizer #coronavirus #coronavac https://t.co/Q9WB0DAOQU
50,mrndtn,,"Ngantuk banget, laper banget. Can’t decide. #AstraZeneca"
51,FazLyn82,Malaysia ,Kuat betol penangan vaksin #AstraZeneca nihhh sampai demam tulang ak dibuatnya hurmm..🤒
52,toegiono,Japan,"#AstraZeneca #vaccine 
1 September 2021, 🇯🇵
mulai hari ini vaksinasi dengan AstraZeneca dimulai. Dengan catatan, un… https://t.co/idZBNA1pFH"
53,dvtanggr,,"Efek vaksin Astra dose 1 buat badanku cuman lemes sharian
#AstraZeneca"
54,wtcklofficial,World Trade Centre KL,"Sehingga 31 Ogos 2021, semua negeri telah berjaya mencapai nilai ambang 40% populasi dewasa lengkap divaksinasi yan… https://t.co/WY0E4AH4w5"
55,HappyDwiA,"Yogyakarta, Indonesia",Vaksin kedua. Semoga tidak mletre #AstraZeneca
56,_Akimmm__,"Johore, Malaysia","Done cucuk... 💦 
#COVID19Vaccine #AstraZeneca https://t.co/MgotNTDV5Z"
57,dhino_ky,Cilangkap Jak-Tim - Bekasi,"#AstraZeneca 2nd dose
SMPN 1 
Cikini, Jakarta"
58,wtcklofficial,World Trade Centre KL,"Sambutan Hari Merdeka di PPV WTCKL tahun ini meraikan petugas barisan hadapan yang berbilang bangsa, membanting tul… https://t.co/sUMpGwFkKE"
59,tobarssa07,"Puerto Cortés, Honduras",Al fin.. 🙌🏼 2da dosis 💉 #VacunaCOVID19 #AstraZeneca
60,mainmainid_,"Surabaya, Indonesia","Terbaru, ada vaksin Sputnik V dari Rusia yang mendapatkan izin penggunaan darurat (EUA) dari Badan Pengawas Obat da… https://t.co/S4SzJRx9Ka"
61,kashjahn,,"Complete 2nd dose AZ vaccine is a big flex tau act. Alhamdulillah dah boleh buat rasengan🌀

#COVID19Vaccine… https://t.co/kJL0FOseQA"
62,fix_makassar,"South Sulawesi, Indonesia","Penggunaan Vaksin AstraZeneca, Sinopharm dan Pfizer untuk atasi Covid-19, MUI sampaikan boleh digunakan.… https://t.co/JIEMr7QaVK"
63,MZf012,Malaysia,Selamat Hari Kemerdekaan Ke-64 🇲🇾❤️ Semoga negara Malaysia segera capai imuniti kelompok! 独立日快乐！ #malaysiaprihatin… https://t.co/CBr8j5ibtl
64,sereinisteume,Java,"Hari pertama dapet dosis vaksin #AstraZeneca, so far yg kerasa pegel di area injection, bismillah gw degdegan sama side effect nya 🙏"
65,hengkoy,,"Akhirnya vaksin kedua #AstraZeneca di #prudentialkokas thank you #JAKI. Jakarta sehat,Indonesia Sehat YNWA https://t.co/2KUFstmqib"
66,BernasMedia,Indonesia,#Indonesia kembali mendatangkan #vaksin virus Covid-19 dari berbagai merek seperti #AstraZeneca dan #Sinovac pada h… https://t.co/SKoNAWqIZY
67,radiopatria,Blitar - East Java - Indonesia,#PatriaToday ► Sebanyak 400 karyawan di salah satu pabrik rokok di Jalan Mastrip Kepanjenkidul Kota Blitar menjalan… https://t.co/8KyzXBo5Fo
68,bbaenia,,"dari aku yg kena efek demam, nyeri otot, kepala pusing setelah disuntik vaksin #AstraZeneca kalo kalian gimana? Seh… https://t.co/OqhcW7VHuU"
69,izuanishukeri,"Selangor, Malaysia","Alhamdulillah fully vaccinated 💉✅ so nak pergi mana lepas ni? 🤪
#cucukmyaz #astrazeneca @ Pwtc, Kuala Lumpur https://t.co/ZmuuZ33gK4"
70,BocilBaik,Dibumi,"Saya sudah vaksin tahap 1 😃... Alhamdulillah sampai dengan saat ini saya tidak merasakan efek apa apa, dan semoga k… https://t.co/KFyfgWRuuq"
71,shllaya,"DKI Jakarta, Indonesia","Gaiss yang dakian apa mempan pake sarung tangan ini ?
Ad hal penting sblm kalian pake

Klik disini 👇🏻… https://t.co/gQffc4Gyo4"
72,lensaRTV,Indonesia,"#KabarBaikVaksin , Indonesia kembali kedatangan dua jenis vaksin Covid-19 yang tiba hari ini. Kali ini jumlah vaksi… https://t.co/2gpiONh6Kf"
73,Mincoidnews,Indonesia,#Jakarta - Masyarakat umum pada bulan ini sudah bisa mendapatkan suntikan vaksin Covid-19 asal perusahaan farmasi A… https://t.co/tBDedoSzmG
74,afiqmdariff,Johor Bahru,"Alhamdulillah lengkap dua dos utk mak.. 
#lindungidirilindungisemua #vaccinated #astrazeneca #az #cucukMYAZ #ppv… https://t.co/SPBULIot5i"
75,gisantia,"Jakarta Selatan, DKI Jakarta",Akhirnya setelah 3 bulan 🥲 #VaksinasiCovid19 #AstraZeneca https://t.co/9QCgmLJvvk
76,AhmedAzlee,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur","Aku yang Dak-dak AstraZaneca yang belum second dose ni pun dah rasa terhina nak pergi mana tak boleh, macam mana la… https://t.co/3d7b4aDuq6"
77,HumanIn_Aceh,Santan. Aceh Besar,"VAKSINASI SINOVAC DIIJINKAN SAUDI

Arab Saudi memberikan ijin bagi individu yang sudah vaksinasi sinovac dan sinoph… https://t.co/s5asL6WKQT"
78,HarithMizie,Malaysia,"Hari ke 5 penangan #AstraZeneca 2nd dose, seram sejuk, sakit kepala, badan sakit2. Semalam demam teruk. Hari nie dt… https://t.co/WTQ43NjabV"
79,TSayektiningsih,Kota Madiun,"Bersiap #Vaksin
Sudah #Sarapan
Siap #Parasetamol
#AstraZeneca
❤❤ https://t.co/4rbQbONWBX"
80,alvinoch2301,Vormir,"Well, vaksin #astrazeneca ga nakutin seperti yg dibayangin sih. Emang gejala-gejala umum emang ada sih, tapi selama… https://t.co/S6hajdt7Wz"
81,alvinoch2301,Vormir,"Hari kedua, waduhhh badan demam, badannya njarem dan pusing cekot-cekot gitu… langsung aja minum paracetamol, dan d… https://t.co/Q05eMuZSgK"
82,alvinoch2301,Vormir,"Hari pertama pas vaksin ga ada reaksi apa-apa selain : ngantuk~ 
Bahkan bekas suntik juga ga ada rasa. Seharian tid… https://t.co/9FsVMjwhIH"
83,DaziaLufiasRun,"1Bangsa, 1Negara, 1Malaysia","Pening aku nk cari tweet ni.

DOS KEDUA

27 Jun 2021
15:29 tepat cucuk #AstraZeneca 0.5ml
Pusat Konvensyen Setia SPICE Penang"
84,PaiLanTun,"Kota Kinabalu, Sabah, Malaysia","#AstraZeneca Day 4
Stamina back to normal, sakit sikit saja di tempat kena jarum. 
Migraine ringan menyerang masa petang, tapi sekejap saja."
85,wtcklofficial,World Trade Centre KL,"1 juta dos 💪

#AstraZeneca #CucukMYAZ #WTCKL #PWTC #PPV https://t.co/VGFfINomT4"
86,sasisudita,"Jakarta Capital Region, Indone","Info vaksin:
RSUI Depok, bisa drive thru. Pendaftaran baru dibuka 2 hari sebelumnya (misal hari Jumat, baru dibuka… https://t.co/D7RMhpsp9l"
87,HarithMizie,Malaysia,"Hari ke 5 penangan #AstraZeneca 2nd dose, seram sejuk, sakit kepala, badan sakit2. Semalam demam teruk. Hari nie dt… https://t.co/ml0OsP9rzB"
88,PaiLanTun,"Kota Kinabalu, Sabah, Malaysia","#AstraZeneca Day 3
Tempat kena suntik masih sakit, tapi boleh tahan, pening kadang2 datang, selera makan bertambah, tidur siok oo👍"
89,TitikTerangNews,,"Ada satu lagi orang #Indonesia di balik terciptanya vaksin #AstraZeneca, yaitu #CarinaJoe.
#Wanita bernama lengkap… https://t.co/T8h9ZZHeSC"
90,Rinaajjaa,,Td bagi baru dpt dosis 1 #AstraZeneca skrg badan mulai kerasa nggreges.. meriang..
91,mediabusamtv,Samarinda,"Belum lama ini, warga #Samarinda sempat dikejutkan dengan pembatalan pelaksanaan #vaksinasimassal oleh Badan Pengel… https://t.co/90OxGPkhks"
92,OctopussyMiss,,"@drpriono1 @WHO #SputnikV memang bukan tipe inactivated virus, dia tipenya sama dengan #AstraZeneca Nah kalo mau li… https://t.co/E0z7KEwnaU"
93,Mohd_Anazly,Malaysia,22597. Stay strong all. Tenangkan diri dan jangan stres. #thesundaily #mco2021 #CucukMYAZ #astrazeneca… https://t.co/S2hUYTsP7B
94,PaiLanTun,"Kota Kinabalu, Sabah, Malaysia","#AstraZeneca #Vaccine dos 1
Day 1 ok, macam biasa.
Day 2, mula bekerja, badan mula lesu bila petang, malam badan ra… https://t.co/jyDatondRS"
95,triambarwati11,"Jakarta, Indonesia",Vaksin AZ dosis 1 sdh dilalui akhir Juni lalu dg aman sehat baik2 aja tidak ada keluhan. Nda sabar menanti vaksin d… https://t.co/sKt4F8y7oA
96,child_smurf,Surabaya,"Saya pakai pacu jantung dan sudah disuntik vaksin #AstraZeneca, tapi tentu saja sebelumnya konsul sama dokter jantu… https://t.co/pMwQmgdwc8"
97,sariastiti5,"Yogyakarta, Indonesia","Hari ini vaksin #AstraZeneca  untung nggak ngalamin KIPI aneh-aneh, yg penting tidur cukup, sarapan, dan jangan tegang."
98,FDonghun,Bangka Belitung,"Wahhh lagi rame ya vaksin #AstraZeneca 
Aq kmrn divaksin Astra ,aq tanya kenapa karena 2 teman ku yg datang bareng… https://t.co/3TYPnV6K07"
99,BanuEdo,"Semarang, Jawa Tengah",badan kayak di kroyok satu kampung hbs vaksin #AstraZeneca
