,user,location,pesan
16,sherrychiu__,Jember,Pfizer dan Merck Meluncurkan Uji Coba Obat Antivirus Oral untuk Mengatasi Covid-19 https://t.co/GsK6dyHM8q… https://t.co/aqvN9UZFiZ
17,micomyizajohn,"Kigali,Rwanda","Nyuma ya #Astrazeneca na #Pfizer, u #Rwanda rugiye gukoresha ubundi bwoko bw'urukingo rwa #Covid19 ari bwo Johnson… https://t.co/w7XGtMcHi2"
18,CamilaM64199733,,Vacinadah 🐊 #vacinada #Pfizer https://t.co/I6t3tSMznJ
19,tanntenntonn,"Shah Alam, Selangor","Kpd warga Muallim yg berumur 18 ke atas &amp; belum menerima vaksin, boleh bagitahu kita utk kita bantu dapatkan vaksin… https://t.co/oy9hvpyXSC"
20,dyyina_,ig; dyy.ina,Okay lengguh je ni. Taknak demam tau. Taknak. #Pfizer
21,PemKabTangerang,"Tangerang, Banten","Vaksinasi pfizer Bagi Warga Provinsi Banten
(Aman bg Anak2, Lansia, Bumil &amp; Peserta dg Komorbid)
@ RSU Kab. Tangera… https://t.co/Y6EFcKth1N"
22,dhita_pedhe,,Alhamdulillah yesss akhirnya gue dah vaksin 1st dose yeaayy! #pfizer
23,newsmerahputih,Jakarta,"Pemerintah kembali mendatangkan 1,2 juta dosis vaksin pfizer.

#merahputihcom #Pfizer #Indonesian #NEWSUPDATE 
https://t.co/T82Isdd2vi"
24,IkieBloom,Seri kembangan KL,"Boleh tolong SHARE!!!

Hai Guys!!! Utk sesiapa yang belum dapat vaccine appointment utk mana mana PPV, bole dtg wal… https://t.co/LRQpwEQehO"
25,indoposco,DKI Jakarta,"Indonesia Kembali Terima 1,2 Juta Dosis Vaksin Pfizer https://t.co/jgcCunXmfR  #Vaksinasi  #Pfizer #Indonesia #indoposco #indoposcoid"
26,VideoTRIBUN,,"Sambut Pembelajaran Tatap Muka, 8 Ribu Pelajar Kota Tangerang Divaksin Jenis Pfizer #vaksin #ptm #pfizer #tangerang… https://t.co/Vv4uhdGkHT"
27,lensaRTV,Indonesia,"#KabarBaikVaksin , Indonesia kembali kedatangan vaksin Covid-19 tahap ke-47 yang tiba Kamis pagi di Bandara Soekarn… https://t.co/OusLdYuaeL"
28,antaranews,NKRI,"Hari ini Indonesia kembali terima 1,19 juta dosis Vaksin Pfizer dalam bentuk jadi. Wamenkes berharap vaksin tersebu… https://t.co/HnQqOEzNZ3"
29,Andespen1,,"Tahap Ke 47, Hampir 1,2 Juta Dosis Vaksin Pfizer Mendarat Di Tanah Air

#Vaksin #Vaksinasi #VaksinasiNasional… https://t.co/jR94cwqV4l"
30,wartakotalive,Jalan Palmerah Barat 33-37 Jkt,"Jadwal Vaksinasi Pfizer dan Sinovac di SDN 05 Kreo Kota Tangerang Sabtu 4 September
 
https://t.co/j6JLoPHldv… https://t.co/P1Wb7pvXEw"
31,mangust80879477,,PCR scam #COVID19Vic #covidnsw #COVID19Aus #covid19qld #nswlockdown #melbournelockdown #Pfizer #VaccinePassport https://t.co/8X0NsF4HCG
32,sherrychiu__,Jember,"Risiko Miokarditis Lebih Tinggi pada Covid-19 daripada Efek Vaksin, Berdasar Studi di Amerika Serikat… https://t.co/1OdA3i3bPj"
33,AmxxrAlx,mars,Alhamdulillah lengkap 2dose vaksin..ikhtiar kita sebagai manusia sejagat.. selebihnya biar Allah yang menentukan..… https://t.co/5Lr6UF6MMQ
34,KSR_UNS,"Surakarta, Jawa Tengah","[ Jenis Vaksin apa sih yang paling bagus?? ]

Hallo Sobat KSR UNS ramai dibincangkan mengenai jenis vaksin yang leb… https://t.co/QQpfT9FbCE"
35,trpbm,"Petaling Jaya, Malaysia",Pengeluar vaksin Pfizer-BioNTech kini sedang dalam proses menampilkan vaksin Covid-19 khusus buat kanak-kanak. - KJ… https://t.co/rukaMY0gmq
36,hekahert,Indonesia,"#malarthagading targetkan 1000 orang terima #vaksin #pfizer 
https://t.co/Sm9L8ZKyrR 
#bersamakitabisa"
37,republikaonline,"Jakarta, Indonesia",Hal yang membuat vaksin ini bisa digunakan dengan alasan kedaruratan. Terlebih vaksin saat ini dibutuhkan oleh masy… https://t.co/Mu60hzkVRo
38,blinkzap,"Jakarta, Indonesia","Selama bulan Agustus jumlah vaksin yang diterima mencapai 43 juta dosis, dan di September diperkirakan jumlah vaksi… https://t.co/hnFepdIy6A"
39,blinkzap,"Jakarta, Indonesia","1 September 2021, Indonesia menerima kedatangan 583.400 dosis vaksin jadi Astrazeneca.

Total 218,5 juta dosis vaks… https://t.co/4C04foBuz6"
40,MNowNews,"Kuala Lumpur, Malaysia ","Menurutnya pengeluar vaksin #Pfizer-#BioNTech, sedang dalam proses menampilkan vaksin #Covid19 khusus buat kanak-ka… https://t.co/q0lUC283CP"
41,JagaWaha,,#JoeRogan #COVID #ivermectin #GetVaccinatedNow #vaccine #Pfizer #Maderna #biden Joe Rogan 🤡 https://t.co/pv7ZP9RZgQ
42,alikaptrbdr,,"Hari ini tetangga pada vaksin di kelurahan.
#Pfizer vaksinnya. Aku ingin sekali. Tapi kusudah vaksin."
43,owcrl,021,Imunizadah #VivaOSuS #ForaBolsonaro #VacinaSim #AstraZeneca #Pfizer #coronavirus #coronavac https://t.co/Q9WB0DAOQU
44,mspikachu______,Malaysia,"ok sofar after hampir2 24hour ni effect nye bisa2 satu badan dari tengkuk ke kaki. tp xdemam 😩
bahu tmpt cucuk sema… https://t.co/ExgtYEmSPO"
45,fazlizainul,Malaysia,"Lain macam cocokan #Pfizer nie, lenguh kepala bahu seharian."
46,amirahzamberi_,"Kuala Terengganu, Terengganu","Alhamdulillah  Fully vaccinated 💉💪

1st Dose Completed 09/08/2021
2nd Dose Completed 30/08/2021

Antibody upgrade u… https://t.co/Y2JtWQ0uAH"
47,rohitDFighter,Unknown,@chetan_bhagat #Pfizer ka CEO hai…
48,mspikachu______,Malaysia,"setakat ni, kesan 2nd dose #Pfizer , tangan lenguh tak mcm 1st dose yg xrasa apa2. tp cuma lenguh sederhana, yg lai… https://t.co/wQNRDN6zBH"
49,echahahce,ermmmmmm,"Normal ke x ek x rase nk demam or sakit lps cucuk vaksin dos ke-2 🤔🤔🤔 tgn sengal2 je tp x la sakit pun 😅

#Pfizer"
50,Lonewol58134442,,#Pfizer Dallal https://t.co/EOXjW8BLZt
51,murianewscom,"Kudus, CJ, Indonesia","Menkominfo: Semua Vaksin Aman, Jangan Pilih-Pilih 

Selengkapnya klik tautan berikut ini.
#Jakarta #Menkominfo… https://t.co/KlIcVsAyL9"
52,murianewscom,"Kudus, CJ, Indonesia","MUI: Vaksin Pfizer Haram tapi Diperbolehkan, Karena Darurat 

Selengkapnya klik tautan berikut ini.
#Jakarta #MUI… https://t.co/ZKZuN4poOP"
53,nanie23980,Malaysia,"Alhamdulillah.. 🥰

#vaksìncovid19 
#pfizer @ Wisma Belia Bandar Indera Mahkota, Kuantan https://t.co/MQechOg72Z"
54,radar_malang,"Jalan Kawi 11B, Kota Malang","Pfizer Belum Masuk, Warga Kabupaten Paling Antusias Disuntik Moderna. Saat ini, vaksin Moderna diterima oleh Kab. M… https://t.co/A8YDhMv4kl"
55,BeatrizFrancs1,"Tucuruí, Brasil",50% imunizadah🐊💉 #Pfizer #VivaOSuS #VacinasSalvamVidas https://t.co/3DxuoshLMc
56,karpatbom,The Right Side of History,Phuk #Pfizer https://t.co/RvMpvp2smG
57,hilmifathir17,,@HmfaqihA Dah BLN maret kemarin #Pfizer
58,KreatifsultanId,"Kota Serang, Banten",Vaksin yang dilaksanakan oleh Rumah Sakit Umum (RSU) Kabupaten Tangerang dibuka untuk warga Banten. Ditargetkan pad… https://t.co/z0sc5QsNBo
59,ahmediaby,,"Aktiviti Hari Merdeka 2021 😁

#VaccinesWork
#Pfizer
#FirstDose https://t.co/WmjywUE7A3"
60,MiZz_WanNa,,Aku sebenarnya buat2 tak layan je ni rasa pelik2 kat badan aku. 😬😬😷🤮🤮 #postvaccine #pfizer #1stdose
61,fix_makassar,"South Sulawesi, Indonesia","Penggunaan Vaksin AstraZeneca, Sinopharm dan Pfizer untuk atasi Covid-19, MUI sampaikan boleh digunakan.… https://t.co/JIEMr7QaVK"
62,LoganNeverDead,Chukchi,"Pemulihan selepas vaksinasi #Pfizer cukup sehari ternyata..

Bekas suntikan masi terasa sakit, uda kaga demam tapi… https://t.co/LpyVP3rhKe"
63,mesitiroslan,"Malacca, Malaysia","Alhamdulillah done dos kedua semalam!

#Pfizer 
#seconddose 
#vaccinated https://t.co/1ZKtGZyPh2"
64,LQaffy,Seremban,"Smlm bru dpt 1 dose..... coz 2x skip..... so far wat masa nie sengal2 otot sikit jer.....
#Pfizer https://t.co/ck7dguDeub"
65,purplesjin,fan account ,"ta passadah?????
#VivaOSuS #Pfizer #ForaBolsonaro"
66,zettyshahira,"Ipoh,Perak",geng anti-baksin cakap 10 tahun lagi akan jadi zomba boleh le berlakon dalam citer mamat khalid join hantu kak lima… https://t.co/QZ0gEJilo0
67,shllaya,"DKI Jakarta, Indonesia","Gaiss yang dakian apa mempan pake sarung tangan ini ?
Ad hal penting sblm kalian pake

Klik disini 👇🏻… https://t.co/gQffc4Gyo4"
68,nurharriss,Unlocated,"Macam ni ke cara posing dah divaksin ? 😜

#Pfizer 
#BreastfeedingMom https://t.co/ghmHlCX4AQ"
69,antaranews,NKRI,"Dewan anggap bahwa perempuan ini meninggal akibat miokarditis, yang diketahui sebagai efek samping langka dari vaks… https://t.co/OtTMpIr9uZ"
70,HumanIn_Aceh,Santan. Aceh Besar,"VAKSINASI SINOVAC DIIJINKAN SAUDI

Arab Saudi memberikan ijin bagi individu yang sudah vaksinasi sinovac dan sinoph… https://t.co/s5asL6WKQT"
71,TheAirTimes,"Setiawangsa, Kuala Lumpur","Pesawat C130 TUDM terbangkan 99,400 dos vaksin dari Sarawak ke Sabah. Vaksin Pfizer ini adalah pinjaman kerajaan Sa… https://t.co/Bp4Dijc1sW"
72,anah_samsudin,Yan 🔁 Perai,"Completing my 2nd dose #covid19vaccination #pfizer (@ Dewan Serbaguna Guar Chempedak in Guar Chempedak, Kedah) https://t.co/TPD513ss1j"
73,fi_3_,,"Biarlah aku jadi zombie, at least aku jadi zombie yg beriman😔... ameenn

#antivax #covid19 #sinovac #pfizer"
74,balungkriting,"Fujinomiya-shi, Shizuoka",12 jam setelah disuntik #pfizer. Nyeri dibagian bekas suntikan (umum)
75,Baharin96,Malaysia,"Simpan sini buat bukti nak dine-in bulan depan😆😆😆

#completedose #pfizer #vaccinationdone✔️ @ Unisza Kampus Gong Ba… https://t.co/OvUBnP81DH"
76,IAdnan95,"Perak, Malaysia","Alhamdulillah.. 1st dose ✅ 🥰

#pfizer #pfizerbiontech #pfizermalaysia #lindungdirilindungsemua #stayhome #staysafe… https://t.co/gJOacKGzrg"
77,farhanah_azizan,"Kedah, Malaysia","Alhamdulillah done second dose 💖 💉
#Pfizer
#vaccinated https://t.co/k9QpNXC60x"
78,haidhifp,"Selangor, Malaysia","settel 2nd dose, boleh request Laksa tak dengan emak #LindungDiriLindungSemua #Pfizer"
79,Tantikrstrm23,"Bekasi Timur, Indonesia","Habis vaksin varian Pfizer, semoga gada gejala aneh🤣 cuman pegel aja abis vaksin, ayo yang belom vaksin

Stop Hoaks… https://t.co/AkjLAgDcW1"
80,ndy_handayani,Under the beautiful sky,Kemarin #pfizer 1 https://t.co/3xk8ddEKva
81,balungkriting,"Fujinomiya-shi, Shizuoka",Ngantri vaksin #pfizer
82,hazanzan2,Kuala Lumpur Federal Territory,@4Y4NKZ Gw Udah #vaccinated #VaccinePassport #Pfizer 👍🏼
83,sitisuriyani__,North Korea,"Ya Allah takleh tido ni 😢 
#Pfizer #Dose2"
84,kopi_tk,TKP,"Ayo vaksin.
Sementara tidak keliling dulu siang ini, besok pagi keliling lagi.
Karang Kitri
#Vaksin
#Pfizer… https://t.co/B49Od2eebp"
85,pikiran_rakyat,"Bandung, Jawa Barat","Media Tiongkok Soroti WNA di Indonesia, Sulit Dapat Vaksin Covid-19 di Jakarta Ketimbang Bali… https://t.co/wgbViqXmGK"
86,aiensyamsul,social media influencer,"Next week 2nd dos, seram plak 😅 ramai kata #Pfizer lain sikit lemau je, mengantuk lah, lapar lah. Betul eh?"
87,cassinhaarj,"Rio de Janeiro, Brasil",VACINADAH #Pfizer #RJ #2021
88,izzahjalidar,,"3 hari berlalu setelah vax. Day 1,2 tu takda demam syukur. Tp mcm dizzy shiver sleepy mcm tu. Telan panadol jugak l… https://t.co/m6FEinNo03"
89,DaengKayo89,"Jakarta Timur, DKI Jakarta","Akhirnya Vaksin jugaa
#Pfizer 
#PMIKotaBekasi https://t.co/v55PsPlIla"
90,VIVAcoid,"Jakarta, Indonesia","Sebuah penelitian baru mengungkap efek samping dari vaksin Pfizer. Selengkapnya https://t.co/v88t4VNVSN
#vivacoid… https://t.co/XNAVwrA3Ho"
91,TRTMelayu,,"Dalam pernyataan yang dibuat oleh #Pfizer dan #BioNTech..... #melayu https://t.co/61G2ravtiS
https://t.co/9qmuA3XI4q"
92,IndonesiaBaikId,Indonesia,"Hai, SohIB! Ada kabar baik, nih. #Vaksin #Pfizer yang sudah tiba di Indonesia akan diperuntukkan bagi masyarakat um… https://t.co/CIsnU9JmJk"
93,_itsmenajmi_,"Kedah, Malaysia",Alhamdulillah…done my 2nd dose #lindungidirilindungisemua #ᴠᴀᴄᴄɪɴᴇᴅᴀʏ💉 #vaccinationdone✔️ #pfizer @ Majlis Perbanda… https://t.co/4v5izy2H4B
94,dhiamardhiah2,,"05:20 pg…

demam n rasa sejuk menggigil2…huhu..da lama x demam mcm ni🥺🥺🥺

#seconddose
#pfizer"
95,xcscggs,,@erynacira Done cucuk PFIZER. Dapat PFIZER jerrr #pfizerian #Pfizer #PfizerPrincess
96,AzharTravelog,"Johor, Malaysia","Hampir 10 jam selepas vaksin #Dos2 #Pfizer

Laparnya .... 🤪🤪🤪"
97,cracksdead,Hell,@notsofqnna tulah sape suruh tak ambik vaccine 😒 #pfizerians #pfizer #gengpfizer
98,dhiamardhiah2,,second dose #pfizer hari ni..tangan sakit xleh nak angkat sangat..badan start demam…moga cepat sembuh mardhiah..btl… https://t.co/HbANXfUwrh
99,LuVLyIzZaTi,Malaysia,"Kita simpan di sini..
.
Fully vaccinated, InshaAllah ☺️
.
#vaccine #vaksin #pfizer #pfizerclan #covid_19… https://t.co/xivCMt5pJo"
