,Unnamed: 0,user,location,pesan
20,20,KSR_UNS,"Surakarta, Jawa Tengah",jenis vaksin apa sih yang paling bagus halo sobat ksr uns ramai dibincangkan mengenai jenis vaksin yang leb
21,21,MNowNews,"Kuala Lumpur, Malaysia ",namun syarikat itu berkata tercemar yang dilaporkan di adalah disebabkan aliran pembuatan di sebuah
22,22,blinkzap,"Jakarta, Indonesia",selama bulan agustus jumlah vaksin yang diterima mencapai juta dosis dan di september diperkirakan jumlah vaksi
23,23,blinkzap,"Jakarta, Indonesia",september indonesia menerima kedatangan dosis vaksin jadi astrazenecatotal juta dosis vaks
24,24,capparuni,"Jakarta Selatan, DKI Jakarta",makin menakutkan
25,25,murianewscom,"Kudus, CJ, Indonesia",menkominfo semua vaksin aman jangan pilihpilih selengkapnya klik tautan berikut ini
26,26,iluniui_,"DKI Jakarta, Indonesia",vaksinasi moderna kini hadir juga di sentra vaksinasi sinergi sehat khusus untuk rabu september masyaraka
27,27,agus3widodo,Indonesia,hari pasca vaksinasi moderna pinggang masih sakit begitu juga di area penyuntikankabar baeknya sudah enggak demam lagi
28,28,raycovers,"Gambir, Indonesia",setuju barusan dari puskesmas untung bertanya dulu pas lagi antri terny
29,29,PugsBTP,"El Paso, TX",gang
30,30,radar_malang,"Jalan Kawi 11B, Kota Malang",pfizer belum masuk warga kabupaten paling antusias disuntik moderna saat ini vaksin moderna diterima oleh kab sama
31,31,FarLeftKyle,,gang
32,32,mainmainid_,"Surabaya, Indonesia",terbaru ada vaksin sputnik tapi dari rusia yang mendapatkan izin penggunaan darurat eua dari badan pengawas obat dah
33,33,YannickLegendre,,mrna
34,34,HumasFatmawati,Jakarta Selatan,vaksinasi moderna di rsup fatmawati
35,35,asdfghjodohmuu,BE,akhirnya first dose
36,36,agus3widodo,Indonesia,dari pagi sudah sore badan panas kaki dingin kepala nyut sendi kepala tulang belakang nyericoba untu
37,37,BernasMedia,Indonesia,warga kota kini bisa vaksin pakai
38,38,wartakotalive,Jalan Palmerah Barat 33-37 Jkt,daftar rumah sakit di tangerang menyediakan vaksinasi moderna untuk tahun ibu hamil dan komorbid
39,39,nurmansjahlubis,"Jakarta Capital Region, Indone",alhamdulillah menemani mama saya berusia tahun vaksin pertama nya dengan di buah hati pamulang tahan
40,40,agus3widodo,Indonesia,subuh pasca vaksin moderna pangkal lengan di area penyuntikan makin menyutnyutnyerimungkin seperti ini yang di
41,41,agus3widodo,Indonesia,jam dini hari terbangun badan menggigil cari kaos kaki selimut tebal vaksin moderna
42,42,agus3widodo,Indonesia,jam usai vaksin moderna bobok nya sesuai tuntunan menghadap ke kanan karena pangkal lengan kiri sakit pada area penyuntikan
43,43,antaranews,NKRI,jumlah vaksin covid moderna di jepang yang terkontaminasi partikel bertambah satu juta dosis dan telah ditangguh
44,44,KhairilHassan,N 4°53' 0'' / E 114°54' 0'',alhamdullilah moderna indak dose done krg cuba lekstkan sudu di badan
45,45,rmoljateng,"Semarang, Jawa Tengah",kopassus grup kandang menjangan kartasura suntikan vaksin untuk desa binaan
46,46,shakeeb_arslan,Tianjin,alhumdulillah got my st jab of moderna vaccine
47,47,agus3widodo,Indonesia,jam berlalu pasca suntik tangan mulai sengalpegel dan sedikit menyutperut keroncong an laper
48,48,HumanIn_Aceh,Santan. Aceh Besar,vaksinasi sinovac diijinkan saudiarab saudi memberikan ijin bagi individu yang sudah vaksinasi sinovac dan sinoph
49,49,agus3widodo,Indonesia,menit pasca vaksin masuk ruang tunggusmoga dapat sembako atau voucher belanja
50,50,agus3widodo,Indonesia,sebelum suntik dikasih kertas suruh bacakirain mantra
51,51,agus3widodo,Indonesia,bismillahsebelum masuk ruangan sempat diperiksa secara spiritual oleh pihak pengaman rs siapa tau punya jimat
52,52,agus3widodo,Indonesia,masih menunggunanti ane update perkembangan infonya pasca vaksin
53,53,rmolbantencom,Indonesia,terkontaminasi jepang tangguhkan program vaksinasi moderna
54,54,alvinlie21,"Jakarta, Indonesia",alangkah baiknya jika juga teliti periksa vaksin di indonesia untuk pastikan insiden di
55,55,mainmainid_,"Surabaya, Indonesia",dilansir dari bestlife sebuah studi terbaru mengungkap jika vaksin mrna moderna mengembangkan lebih banyak lonjaka
56,56,Pojokjakarta_,"DKI Jakarta, Indonesia",kepala daerah dapat booster vaksin moderna perlu atau tidak
57,57,ParstodayIRIB,"Tehran, Iran",videokementerian kesehatan jepang melaporkan bahwa dua warga negara ini meninggal dunia setelah menerima suntikan
58,58,tng_tv,"Kota Tangerang, Banten",untuk kalian yang memiliki komorbid dan belum mendapatkan vaksinasi dosis dan kalian bisa me
59,59,MDTHasanNaim55,Bangladesh,alhamdulillah indak dose of covid vaccine done
60,60,anggironggg,"Jawa Tengah, Indonesia",setelah menggembleng tubuh ini dengan paramol seharian santagesik akhirnya hari ini tidak krasa demam dan badan se
61,61,vivipinot15,,dari moderna saya belajar jangan mau kena covid pakai cara jaga diri dengan prokes ketatasli dudemulai ment pert
62,62,sherrychiu__,Jember,dua orang meninggal dunia di jepang setelah mendapat vaksin covid moderna yang diduga terkontaminasi
63,63,BossMed,Hadeland,lisa
64,64,ChenoxBecks,"Ambon, Maluku",efek memang nendang sih
65,65,Linda_Lsiana,"Banjarnegara, Indonesia",dosis ke biarkan sinovac penyitas dan moderna reonian
66,66,krucilan,10.10.10.12,sudah vaksin ke ada komorbit dan tensi cenderung tinggi di atas rataefek demam f
67,67,bidanrika,"Dayeuhkolot, Bandung Selatan. ",lagi bantuin vaksinasi di puskesmas dayeuhkolot ya sekalian saja booster semoga kipinya tidak seseram yang
68,68,tvOneNews,Indonesia,vaksin moderna telah diberikan kepada para tenaga kesehatan nakes sebagai dosis yang ketiga lantas apakah booste
69,69,erizqi_nisa,"Jawa Tengah, Indonesia",efek setelah jam di vaksin demam bekas suntikan terasa nyeri dan pegal gelisah pusing kak
70,70,iwanwahyuutomo,,thanks ppkm sekarang orang berlomba pengin vaksin biar bisa masuk ke mall
71,71,bellayoon_,"Kebumen, Indonesia",efek vaksinnya baru terasa gelisah kepala agak pening lidah kering agak pahit haus lapar ngantuk mau ketemu
72,72,galihr45,"Jawa Tengah, Indonesia",peduli lindungi
73,73,prokabar,Indonesia,terima dosis pemkab prioritaskan untuk kunjungi
74,74,murianewscom,"Kudus, CJ, Indonesia",nakes di kota pekalongan divaksin tahap ketiga selengkapnya klik tautan berikut ini
75,75,hosein39400962,جمهوری اسلامی ایران,
76,76,murianewscom,"Kudus, CJ, Indonesia",geger pejabat pemkab klaten dapat vaksin booster nakes begini penjelasan pmi selengkapnya klik tautan berikut ini
77,77,ismunadi22,endonesa....,bismillah ini yang jar rasanya kayak anu jam habis vaksin tangan berasa sih
78,78,batamnewsonline,"Batam, Kepri, Indonesia",ribuan warga terlihat sudah mengantre di vihara tersebut kebanyakan dari mereka sudah datang sejak pagi tadi
79,79,serambinews,Aceh,tapi benarbenar tidak ingin diulang cukup sekali saja untuk vaksin moderna ini serasa seperti spongebob badan terl
80,80,bagaz13,Bat-cave,nakes disuntik vaksin moderna sebagai booster dalam upaya meningkatkan daya ta
81,81,,,jam kurang lebih jam post demam berkeringat banyak basah bajunya enggak sempat cek suhu karena
